,KEY,SIZE,IS_BOX_INTERSECTING,IS_TIME_INTERSECTING,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,STATIONID,BEGIN_TIME_UTC,END_TIME_UTC,bucket_begin_time,bucket_end_time
0,2017/04/06/KLWX/KLWX20170406_190356_V06,9.795098,1.0,1.0,39.66,-75.08,39.66,-75.08,KLWX,2017-04-06 19:08:00,2017-04-06 19:10:00,2017-04-06 19:03:56,2017-04-06 19:09:06
1,2017/04/06/KLWX/KLWX20170406_190903_V06,9.798850999999999,1.0,1.0,39.66,-75.08,39.66,-75.08,KLWX,2017-04-06 19:08:00,2017-04-06 19:10:00,2017-04-06 19:09:03,2017-04-06 19:14:13
4,2017/04/06/KTBW/KTBW20170406_132420_V06,7.497713,1.0,1.0,26.501,-81.99799999999998,26.5339,-81.8836,KTBW,2017-04-06 13:29:00,2017-04-06 13:41:00,2017-04-06 13:24:20,2017-04-06 13:29:30
5,2017/04/06/KTBW/KTBW20170406_132934_V06,7.507562999999999,1.0,1.0,26.501,-81.99799999999998,26.5339,-81.8836,KTBW,2017-04-06 13:29:00,2017-04-06 13:41:00,2017-04-06 13:29:34,2017-04-06 13:34:44
6,2017/04/06/KTBW/KTBW20170406_133449_V06,7.3328,1.0,1.0,26.501,-81.99799999999998,26.5339,-81.8836,KTBW,2017-04-06 13:29:00,2017-04-06 13:41:00,2017-04-06 13:34:49,2017-04-06 13:39:59
7,2017/04/06/KTBW/KTBW20170406_133943_V06,7.307729999999999,1.0,1.0,26.501,-81.99799999999998,26.5339,-81.8836,KTBW,2017-04-06 13:29:00,2017-04-06 13:41:00,2017-04-06 13:39:43,2017-04-06 13:44:53
8,2017/04/05/KLVX/KLVX20170405_214615_V06,12.839284,1.0,1.0,39.85,-83.99,39.85,-83.99,KLVX,2017-04-05 21:48:00,2017-04-05 21:54:00,2017-04-05 21:46:15,2017-04-05 21:51:25
9,2017/04/05/KLVX/KLVX20170405_215220_V06,12.992272999999999,1.0,1.0,39.85,-83.99,39.85,-83.99,KLVX,2017-04-05 21:48:00,2017-04-05 21:54:00,2017-04-05 21:52:20,2017-04-05 21:57:30
10,2017/04/16/KOHX/KOHX20170416_215339_V06,3.387819,1.0,1.0,39.1065,-84.2875,39.1061,-84.2874,KOHX,2017-04-16 21:58:00,2017-04-16 23:01:00,2017-04-16 21:53:39,2017-04-16 21:58:49
11,2017/04/16/KOHX/KOHX20170416_215654_V06,3.52929,1.0,1.0,39.1065,-84.2875,39.1061,-84.2874,KOHX,2017-04-16 21:58:00,2017-04-16 23:01:00,2017-04-16 21:56:54,2017-04-16 22:02:04
12,2017/04/16/KOHX/KOHX20170416_220025_V06,3.542402,1.0,1.0,39.1065,-84.2875,39.1061,-84.2874,KOHX,2017-04-16 21:58:00,2017-04-16 23:01:00,2017-04-16 22:00:25,2017-04-16 22:05:35
13,2017/04/16/KOHX/KOHX20170416_220354_V06,3.5269299999999997,1.0,1.0,39.1065,-84.2875,39.1061,-84.2874,KOHX,2017-04-16 21:58:00,2017-04-16 23:01:00,2017-04-16 22:03:54,2017-04-16 22:09:04
14,2017/04/16/KOHX/KOHX20170416_220723_V06,3.5303649999999998,1.0,1.0,39.1065,-84.2875,39.1061,-84.2874,KOHX,2017-04-16 21:58:00,2017-04-16 23:01:00,2017-04-16 22:07:23,2017-04-16 22:12:33
15,2017/04/16/KOHX/KOHX20170416_221054_V06,3.545753,1.0,1.0,39.1065,-84.2875,39.1061,-84.2874,KOHX,2017-04-16 21:58:00,2017-04-16 23:01:00,2017-04-16 22:10:54,2017-04-16 22:16:04
16,2017/04/16/KOHX/KOHX20170416_221423_V06,3.666801,1.0,1.0,39.1065,-84.2875,39.1061,-84.2874,KOHX,2017-04-16 21:58:00,2017-04-16 23:01:00,2017-04-16 22:14:23,2017-04-16 22:19:33
17,2017/04/16/KOHX/KOHX20170416_221808_V06,3.6749859999999996,1.0,1.0,39.1065,-84.2875,39.1061,-84.2874,KOHX,2017-04-16 21:58:00,2017-04-16 23:01:00,2017-04-16 22:18:08,2017-04-16 22:23:18
18,2017/04/16/KOHX/KOHX20170416_222154_V06,3.693466,1.0,1.0,39.1065,-84.2875,39.1061,-84.2874,KOHX,2017-04-16 21:58:00,2017-04-16 23:01:00,2017-04-16 22:21:54,2017-04-16 22:27:04
19,2017/04/16/KOHX/KOHX20170416_222539_V06,3.707896,1.0,1.0,39.1065,-84.2875,39.1061,-84.2874,KOHX,2017-04-16 21:58:00,2017-04-16 23:01:00,2017-04-16 22:25:39,2017-04-16 22:30:49
20,2017/04/16/KOHX/KOHX20170416_222925_V06,3.7063539999999997,1.0,1.0,39.1065,-84.2875,39.1061,-84.2874,KOHX,2017-04-16 21:58:00,2017-04-16 23:01:00,2017-04-16 22:29:25,2017-04-16 22:34:35
21,2017/04/16/KOHX/KOHX20170416_223312_V06,3.8258609999999997,1.0,1.0,39.1065,-84.2875,39.1061,-84.2874,KOHX,2017-04-16 21:58:00,2017-04-16 23:01:00,2017-04-16 22:33:12,2017-04-16 22:38:22
22,2017/04/16/KOHX/KOHX20170416_223712_V06,3.7310109999999996,1.0,1.0,39.1065,-84.2875,39.1061,-84.2874,KOHX,2017-04-16 21:58:00,2017-04-16 23:01:00,2017-04-16 22:37:12,2017-04-16 22:42:22
23,2017/04/16/KOHX/KOHX20170416_224058_V06,3.7682339999999996,1.0,1.0,39.1065,-84.2875,39.1061,-84.2874,KOHX,2017-04-16 21:58:00,2017-04-16 23:01:00,2017-04-16 22:40:58,2017-04-16 22:46:08
24,2017/04/16/KOHX/KOHX20170416_224443_V06,3.8161009999999997,1.0,1.0,39.1065,-84.2875,39.1061,-84.2874,KOHX,2017-04-16 21:58:00,2017-04-16 23:01:00,2017-04-16 22:44:43,2017-04-16 22:49:53
25,2017/04/16/KOHX/KOHX20170416_224838_V06,3.9433529999999997,1.0,1.0,39.1065,-84.2875,39.1061,-84.2874,KOHX,2017-04-16 21:58:00,2017-04-16 23:01:00,2017-04-16 22:48:38,2017-04-16 22:53:48
26,2017/04/16/KOHX/KOHX20170416_225240_V06,4.021434999999999,1.0,1.0,39.1065,-84.2875,39.1061,-84.2874,KOHX,2017-04-16 21:58:00,2017-04-16 23:01:00,2017-04-16 22:52:40,2017-04-16 22:57:50
27,2017/04/16/KOHX/KOHX20170416_225650_V06,4.0716719999999995,1.0,1.0,39.1065,-84.2875,39.1061,-84.2874,KOHX,2017-04-16 21:58:00,2017-04-16 23:01:00,2017-04-16 22:56:50,2017-04-16 23:02:00
28,2017/04/16/KOHX/KOHX20170416_230100_V06,4.089782,1.0,1.0,39.1065,-84.2875,39.1061,-84.2874,KOHX,2017-04-16 21:58:00,2017-04-16 23:01:00,2017-04-16 23:01:00,2017-04-16 23:06:10
