,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,STATIONID,BEGIN_TIME_UTC,END_TIME_UTC,bucket_begin_time,bucket_end_time
0,39.66,-75.08,39.66,-75.08,KLWX,2017-04-06 19:08:00,2017-04-06 19:10:00,2017-04-06 19:03:56,2017-04-06 19:09:06
1,39.66,-75.08,39.66,-75.08,KLWX,2017-04-06 19:08:00,2017-04-06 19:10:00,2017-04-06 19:09:03,2017-04-06 19:14:13
4,26.501,-81.99799999999998,26.5339,-81.8836,KTBW,2017-04-06 13:29:00,2017-04-06 13:41:00,2017-04-06 13:24:20,2017-04-06 13:29:30
5,26.501,-81.99799999999998,26.5339,-81.8836,KTBW,2017-04-06 13:29:00,2017-04-06 13:41:00,2017-04-06 13:29:34,2017-04-06 13:34:44
6,26.501,-81.99799999999998,26.5339,-81.8836,KTBW,2017-04-06 13:29:00,2017-04-06 13:41:00,2017-04-06 13:34:49,2017-04-06 13:39:59
7,26.501,-81.99799999999998,26.5339,-81.8836,KTBW,2017-04-06 13:29:00,2017-04-06 13:41:00,2017-04-06 13:39:43,2017-04-06 13:44:53
8,39.85,-83.99,39.85,-83.99,KLVX,2017-04-05 21:48:00,2017-04-05 21:54:00,2017-04-05 21:46:15,2017-04-05 21:51:25
9,39.85,-83.99,39.85,-83.99,KLVX,2017-04-05 21:48:00,2017-04-05 21:54:00,2017-04-05 21:52:20,2017-04-05 21:57:30
10,39.1065,-84.2875,39.1061,-84.2874,KOHX,2017-04-16 21:58:00,2017-04-16 23:01:00,2017-04-16 21:53:39,2017-04-16 21:58:49
11,39.1065,-84.2875,39.1061,-84.2874,KOHX,2017-04-16 21:58:00,2017-04-16 23:01:00,2017-04-16 21:56:54,2017-04-16 22:02:04
12,39.1065,-84.2875,39.1061,-84.2874,KOHX,2017-04-16 21:58:00,2017-04-16 23:01:00,2017-04-16 22:00:25,2017-04-16 22:05:35
13,39.1065,-84.2875,39.1061,-84.2874,KOHX,2017-04-16 21:58:00,2017-04-16 23:01:00,2017-04-16 22:03:54,2017-04-16 22:09:04
14,39.1065,-84.2875,39.1061,-84.2874,KOHX,2017-04-16 21:58:00,2017-04-16 23:01:00,2017-04-16 22:07:23,2017-04-16 22:12:33
15,39.1065,-84.2875,39.1061,-84.2874,KOHX,2017-04-16 21:58:00,2017-04-16 23:01:00,2017-04-16 22:10:54,2017-04-16 22:16:04
16,39.1065,-84.2875,39.1061,-84.2874,KOHX,2017-04-16 21:58:00,2017-04-16 23:01:00,2017-04-16 22:14:23,2017-04-16 22:19:33
17,39.1065,-84.2875,39.1061,-84.2874,KOHX,2017-04-16 21:58:00,2017-04-16 23:01:00,2017-04-16 22:18:08,2017-04-16 22:23:18
18,39.1065,-84.2875,39.1061,-84.2874,KOHX,2017-04-16 21:58:00,2017-04-16 23:01:00,2017-04-16 22:21:54,2017-04-16 22:27:04
19,39.1065,-84.2875,39.1061,-84.2874,KOHX,2017-04-16 21:58:00,2017-04-16 23:01:00,2017-04-16 22:25:39,2017-04-16 22:30:49
20,39.1065,-84.2875,39.1061,-84.2874,KOHX,2017-04-16 21:58:00,2017-04-16 23:01:00,2017-04-16 22:29:25,2017-04-16 22:34:35
21,39.1065,-84.2875,39.1061,-84.2874,KOHX,2017-04-16 21:58:00,2017-04-16 23:01:00,2017-04-16 22:33:12,2017-04-16 22:38:22
22,39.1065,-84.2875,39.1061,-84.2874,KOHX,2017-04-16 21:58:00,2017-04-16 23:01:00,2017-04-16 22:37:12,2017-04-16 22:42:22
23,39.1065,-84.2875,39.1061,-84.2874,KOHX,2017-04-16 21:58:00,2017-04-16 23:01:00,2017-04-16 22:40:58,2017-04-16 22:46:08
24,39.1065,-84.2875,39.1061,-84.2874,KOHX,2017-04-16 21:58:00,2017-04-16 23:01:00,2017-04-16 22:44:43,2017-04-16 22:49:53
25,39.1065,-84.2875,39.1061,-84.2874,KOHX,2017-04-16 21:58:00,2017-04-16 23:01:00,2017-04-16 22:48:38,2017-04-16 22:53:48
26,39.1065,-84.2875,39.1061,-84.2874,KOHX,2017-04-16 21:58:00,2017-04-16 23:01:00,2017-04-16 22:52:40,2017-04-16 22:57:50
27,39.1065,-84.2875,39.1061,-84.2874,KOHX,2017-04-16 21:58:00,2017-04-16 23:01:00,2017-04-16 22:56:50,2017-04-16 23:02:00
28,39.1065,-84.2875,39.1061,-84.2874,KOHX,2017-04-16 21:58:00,2017-04-16 23:01:00,2017-04-16 23:01:00,2017-04-16 23:06:10
